row_kind,sessions,sigma_l_arm,power_scale_arm,form,m2,depletion_cycles,propagation,peak,w0_um,w0_err_parabola_um,bound_kind,w0_bound95_um,w0_lo_um,w0_hi_um,w0_lo_overdispersed_um,w0_hi_overdispersed_um,w0_shift_um,chi2,dchi2,chi2_red,n_eff,n_traces,start_spread_chi2,chi2_red_by_session,session_verdicts,nfev,beta_rel,beta_rel_err_hessian,sigma_l_shared,sigma_l_shared_err_hessian,sigma_l_P,sigma_l_P_err_hessian,sigma_l_T,sigma_l_T_err_hessian,sigma_l_E,sigma_l_E_err_hessian,sigma_l_M,sigma_l_M_err_hessian,sigma_l_Q,sigma_l_Q_err_hessian,omega_scale,omega_scale_err_hessian,gamma_l,gamma_l_err_hessian,lograte_E_4121,lograte_E_4121_err_hessian,lograte_E_4154,lograte_E_4154_err_hessian,lograte_E_4192,lograte_E_4192_err_hessian,lograte_E_4207,lograte_E_4207_err_hessian,power_scale_P,power_scale_P_err_hessian,power_scale_T,power_scale_T_err_hessian,power_scale_E,power_scale_E_err_hessian,power_scale_M,power_scale_M_err_hessian,power_scale_Q,power_scale_Q_err_hessian,beta_khz_per_1e12,beta_err_khz_hessian,beta_pull_vs_theory_hessian,beta_fixed_rel,dchi2_beta_0,dchi2_beta_theory,dchi2_beta_5x,dchi2_beta_20x,beta_profile_1sigma_hi_khz,beta_profile_ub95_khz,omega_scale_pull,s0_225_mhz,omega_225_mhz,transit_130_mhz,transit_130_depleted_mhz,z_ratio,licensed,w0_licence_edge_um,power_ratio_pred,power_ratio_pred_fitted_omega,power_ratio_meas,power_ratio_bar,power_arm_pull,power_arm_refused,power_arm_pooled_pull,power_arm_pooled_refused,power_lo_w,power_hi_w,width_slope_per_w,width_slope_err_lsq_per_w,width_slope_sign,noise_a_v,noise_b_v,noise_tau_int,at_bound,seconds,note,status
beta_profile,PT,session,False,gaussian,1,0,,,88,,,,,,,,,81000,3200,0.92,86000,159,0.000011,P:0.918 T:0.889,"P:WING-LAW(core +7, wing -19) T:WING-LAW(core -3, wing -12)",114,0,,,,2.9,,2.6,,,,,,,,3.0,,0,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,10,0.19,0.71,0.70,0.70,0.14,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,270,"beta_self pinned at 0 times theory (0.00 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,88,,,,,,,,,80000,1700,0.92,86000,159,0.000011,P:0.918 T:0.889,"P:WING-LAW(core +7, wing -19) T:WING-LAW(core -3, wing -12)",114,1.0,,,,2.7,,2.6,,,,,,,,3.0,,0,,,,,,,,,,,,,,,,,,,,3.5,,,1.0,,,,,,,10,0.19,0.71,0.70,0.70,0.14,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,270,"beta_self pinned at 1 times theory (3.50 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,88,,,,,,,,,78000,250,0.92,86000,159,0.000011,P:0.918 T:0.889,"P:WING-LAW(core +7, wing -19) T:WING-LAW(core -3, wing -12)",114,5.0,,,,2.3,,2.7,,,,,,,,1.4,,0,,,,,,,,,,,,,,,,,,,,17,,,5.0,,,,,,,1.8,0.19,0.32,0.70,0.70,0.14,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,270,"beta_self pinned at 5 times theory (17.49 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,88,,,,,,,,,170000,89000,0.92,86000,159,0.000011,P:0.918 T:0.889,"P:WING-LAW(core +7, wing -19) T:WING-LAW(core -3, wing -12)",114,20,,,,0.20,,2.2,,,,,,,,0.015,,0,,,,,,,,,,,,,,,,,,,,70,,,20,,,,,,,-4.9,0.19,0.0035,0.70,0.70,0.14,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,270,"beta_self pinned at 20 times theory (69.94 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
grid,PT,session,False,gaussian,1,0,,,90,,,,,,,,,78000,1700,0.92,86000,159,0.00035,P:0.918 T:0.889,"P:WING-LAW(core +7, wing -19) T:WING-LAW(core -3, wing -12)",120,3.824,0.034,,,2.3805,0.0068,2.608,0.020,,,,,,,2.456,0.045,0,,,,,,,,,,,,,,,,,,,,13.37,0.12,25,,3400,1800,240,87000,13,13,7.3,0.18,0.56,0.68,0.68,0.13,True,40,1.0031,1.0169,0.9956,0.0188,0.40,False,0.40,False,,,,,,,,,,210,"the whitened profile likelihood over 159 traces of sessions PT at this waist with beta_self, the laser widths (session), the Omega scale (prior 1 +- 0.2) refit from 2 starts, gamma_l pinned at zero, Delta_alpha pinned at -1131.8 a.u. and rho at 0.94, the density law Steck, the collection window on at z_ratio 0.132 (M2 1), depletion at 0 cycles through companion_transit_mhz (transit at 130 C 0.6809 to 0.6809 MHz). the _err_hessian bars are conditional, every other parameter pinned. the dchi2_beta columns are the beta profile, chi2 with beta pinned at 0, theory, 5x and 20x theory and everything else refit, above the free minimum. the power-arm check reads the model's width ratio across each session's ladder at the TIED Omega (scale 1) with everything else fitted: P against the archive's 0.9956 +- 0.0188, passes at pull +0.40, pooled over 1 sessions passes at pull +0.40. centres profiled per trace and re-profiled after each inner fit, outer passes [1, 2], last centre move 0.000 MHz",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,90,,,,,,,,,81000,3400,0.92,86000,159,0.00035,P:0.918 T:0.889,"P:WING-LAW(core +7, wing -19) T:WING-LAW(core -3, wing -12)",120,0,,,,2.9,,2.7,,,,,,,,3.0,,0,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,10,0.18,0.68,0.68,0.68,0.13,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,210,"beta_self pinned at 0 times theory (0.00 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,90,,,,,,,,,80000,1800,0.92,86000,159,0.00035,P:0.918 T:0.889,"P:WING-LAW(core +7, wing -19) T:WING-LAW(core -3, wing -12)",120,1.0,,,,2.8,,2.6,,,,,,,,3.0,,0,,,,,,,,,,,,,,,,,,,,3.5,,,1.0,,,,,,,10,0.18,0.68,0.68,0.68,0.13,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,210,"beta_self pinned at 1 times theory (3.50 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,90,,,,,,,,,78000,240,0.92,86000,159,0.00035,P:0.918 T:0.889,"P:WING-LAW(core +7, wing -19) T:WING-LAW(core -3, wing -12)",120,5.0,,,,2.3,,2.7,,,,,,,,1.4,,0,,,,,,,,,,,,,,,,,,,,17,,,5.0,,,,,,,2.0,0.18,0.32,0.68,0.68,0.13,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,210,"beta_self pinned at 5 times theory (17.49 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,90,,,,,,,,,170000,87000,0.92,86000,159,0.00035,P:0.918 T:0.889,"P:WING-LAW(core +7, wing -19) T:WING-LAW(core -3, wing -12)",120,20,,,,0.20,,2.2,,,,,,,,0.015,,0,,,,,,,,,,,,,,,,,,,,70,,,20,,,,,,,-4.9,0.18,0.0035,0.68,0.68,0.13,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,210,"beta_self pinned at 20 times theory (69.94 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
grid,PT,session,False,lorentzian,1,0,,,40,,,,,,,,,77000,800,0.90,86000,159,0.66,P:0.907 T:0.882,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -3, wing -13)",228,0.0000,0.0030,,,0.20000,0.00083,0.2000,0.0024,,,,,,,0.006,0.014,0,,,,,,,,,,,,,,,,,,,,0.000,0.010,-9.4,,0.058,1300,21000,230000,0.0026,0.0070,-5.0,0.92,0.0072,1.5,1.5,0.67,False,40,1.0826,1.0066,0.9956,0.0188,4.6,True,4.6,True,,,,,,,,,beta_rel sigma_l_P sigma_l_T omega_scale,32,"the whitened profile likelihood over 159 traces of sessions PT at this waist with beta_self, the laser widths (session), the Omega scale (prior 1 +- 0.2) refit from 2 starts, gamma_l pinned at zero, Delta_alpha pinned at -1131.8 a.u. and rho at 0.94, the density law Steck, the collection window on at z_ratio 0.667 (M2 1), depletion at 0 cycles through companion_transit_mhz (transit at 130 C 1.5320 to 1.5320 MHz). the _err_hessian bars are conditional, every other parameter pinned, at a bound: beta_rel sigma_l_P sigma_l_T omega_scale. the dchi2_beta columns are the beta profile, chi2 with beta pinned at 0, theory, 5x and 20x theory and everything else refit, above the free minimum. the power-arm check reads the model's width ratio across each session's ladder at the TIED Omega (scale 1) with everything else fitted: P against the archive's 0.9956 +- 0.0188, refused at pull +4.64, pooled over 1 sessions refused at pull +4.64. centres profiled per trace and re-profiled after each inner fit, outer passes [1, 1, 1], last centre move 0.000 MHz",DIAGNOSTIC
beta_profile,PT,session,False,lorentzian,1,0,,,40,,,,,,,,,77000,0.058,0.90,86000,159,0.66,P:0.907 T:0.882,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -3, wing -13)",228,0,,,,0.20,,0.20,,,,,,,,0.0039,,0,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,-5.0,0.92,0.0045,1.5,1.5,0.67,False,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,32,"beta_self pinned at 0 times theory (0.00 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,lorentzian,1,0,,,40,,,,,,,,,78000,1300,0.90,86000,159,0.66,P:0.907 T:0.882,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -3, wing -13)",228,1.0,,,,0.20,,0.20,,,,,,,,0.0029,,0,,,,,,,,,,,,,,,,,,,,3.5,,,1.0,,,,,,,-5.0,0.92,0.0034,1.5,1.5,0.67,False,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,32,"beta_self pinned at 1 times theory (3.50 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,lorentzian,1,0,,,40,,,,,,,,,98000,21000,0.90,86000,159,0.66,P:0.907 T:0.882,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -3, wing -13)",228,5.0,,,,0.20,,0.20,,,,,,,,0.00072,,0,,,,,,,,,,,,,,,,,,,,17,,,5.0,,,,,,,-5.0,0.92,0.00083,1.5,1.5,0.67,False,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,32,"beta_self pinned at 5 times theory (17.49 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,lorentzian,1,0,,,40,,,,,,,,,310000,230000,0.90,86000,159,0.66,P:0.907 T:0.882,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -3, wing -13)",228,20,,,,0.20,,0.20,,,,,,,,0.00057,,0,,,,,,,,,,,,,,,,,,,,70,,,20,,,,,,,-5.0,0.92,0.00066,1.5,1.5,0.67,False,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,32,"beta_self pinned at 20 times theory (69.94 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
grid,PT,session,False,lorentzian,1,0,,,42,,,,,,,,,76000,240,0.89,86000,159,0.26,P:0.901 T:0.877,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -4, wing -13)",228,0.542,0.034,,,0.2000,0.0020,0.222,0.012,,,,,,,0.017,0.024,0,,,,,,,,,,,,,,,,,,,,1.90,0.12,-4.1,,56,180,15000,220000,1.9,1.9,-4.9,0.84,0.018,1.5,1.5,0.60,True,40,1.0692,1.0054,0.9956,0.0188,3.9,True,3.9,True,,,,,,,,,sigma_l_P,32,"the whitened profile likelihood over 159 traces of sessions PT at this waist with beta_self, the laser widths (session), the Omega scale (prior 1 +- 0.2) refit from 2 starts, gamma_l pinned at zero, Delta_alpha pinned at -1131.8 a.u. and rho at 0.94, the density law Steck, the collection window on at z_ratio 0.605 (M2 1), depletion at 0 cycles through companion_transit_mhz (transit at 130 C 1.4590 to 1.4590 MHz). the _err_hessian bars are conditional, every other parameter pinned, at a bound: sigma_l_P. the dchi2_beta columns are the beta profile, chi2 with beta pinned at 0, theory, 5x and 20x theory and everything else refit, above the free minimum. the power-arm check reads the model's width ratio across each session's ladder at the TIED Omega (scale 1) with everything else fitted: P against the archive's 0.9956 +- 0.0188, refused at pull +3.93, pooled over 1 sessions refused at pull +3.93. centres profiled per trace and re-profiled after each inner fit, outer passes [1, 1], last centre move 0.005 MHz",DIAGNOSTIC
beta_profile,PT,session,False,lorentzian,1,0,,,42,,,,,,,,,76000,56,0.89,86000,159,0.26,P:0.901 T:0.877,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -4, wing -13)",228,0,,,,0.25,,0.23,,,,,,,,0.015,,0,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,-4.9,0.84,0.016,1.5,1.5,0.60,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,32,"beta_self pinned at 0 times theory (0.00 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,lorentzian,1,0,,,42,,,,,,,,,76000,180,0.89,86000,159,0.26,P:0.901 T:0.877,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -4, wing -13)",228,1.0,,,,0.20,,0.21,,,,,,,,0.012,,0,,,,,,,,,,,,,,,,,,,,3.5,,,1.0,,,,,,,-4.9,0.84,0.012,1.5,1.5,0.60,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,32,"beta_self pinned at 1 times theory (3.50 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,lorentzian,1,0,,,42,,,,,,,,,91000,15000,0.89,86000,159,0.26,P:0.901 T:0.877,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -4, wing -13)",228,5.0,,,,0.20,,0.20,,,,,,,,0.00088,,0,,,,,,,,,,,,,,,,,,,,17,,,5.0,,,,,,,-5.0,0.84,0.00092,1.5,1.5,0.60,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,32,"beta_self pinned at 5 times theory (17.49 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,lorentzian,1,0,,,42,,,,,,,,,290000,220000,0.89,86000,159,0.26,P:0.901 T:0.877,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -4, wing -13)",228,20,,,,0.20,,0.20,,,,,,,,0.00057,,0,,,,,,,,,,,,,,,,,,,,70,,,20,,,,,,,-5.0,0.84,0.00059,1.5,1.5,0.60,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,32,"beta_self pinned at 20 times theory (69.94 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
grid,PT,session,False,lorentzian,1,0,,,44,,,,,,,,,76000,52,0.89,86000,159,0.11,P:0.899 T:0.875,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -5, wing -13)",156,0.860,0.034,,,0.2518,0.0037,0.298,0.012,,,,,,,0.019,0.029,0,,,,,,,,,,,,,,,,,,,,3.01,0.12,-1.3,,66,1.7,11000,200000,3.3,3.5,-4.9,0.76,0.019,1.4,1.4,0.55,True,40,1.0580,1.0045,0.9956,0.0188,3.3,True,3.3,True,,,,,,,,,,39,"the whitened profile likelihood over 159 traces of sessions PT at this waist with beta_self, the laser widths (session), the Omega scale (prior 1 +- 0.2) refit from 2 starts, gamma_l pinned at zero, Delta_alpha pinned at -1131.8 a.u. and rho at 0.94, the density law Steck, the collection window on at z_ratio 0.551 (M2 1), depletion at 0 cycles through companion_transit_mhz (transit at 130 C 1.3927 to 1.3927 MHz). the _err_hessian bars are conditional, every other parameter pinned. the dchi2_beta columns are the beta profile, chi2 with beta pinned at 0, theory, 5x and 20x theory and everything else refit, above the free minimum. the power-arm check reads the model's width ratio across each session's ladder at the TIED Omega (scale 1) with everything else fitted: P against the archive's 0.9956 +- 0.0188, refused at pull +3.33, pooled over 1 sessions refused at pull +3.33. centres profiled per trace and re-profiled after each inner fit, outer passes [1, 1], last centre move 0.006 MHz",DIAGNOSTIC
beta_profile,PT,session,False,lorentzian,1,0,,,44,,,,,,,,,76000,66,0.89,86000,159,0.11,P:0.899 T:0.875,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -5, wing -13)",156,0,,,,0.34,,0.32,,,,,,,,0.023,,0,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,-4.9,0.76,0.022,1.4,1.4,0.55,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,39,"beta_self pinned at 0 times theory (0.00 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,lorentzian,1,0,,,44,,,,,,,,,76000,1.7,0.89,86000,159,0.11,P:0.899 T:0.875,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -5, wing -13)",156,1.0,,,,0.24,,0.29,,,,,,,,0.021,,0,,,,,,,,,,,,,,,,,,,,3.5,,,1.0,,,,,,,-4.9,0.76,0.020,1.4,1.4,0.55,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,39,"beta_self pinned at 1 times theory (3.50 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,lorentzian,1,0,,,44,,,,,,,,,87000,11000,0.89,86000,159,0.11,P:0.899 T:0.875,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -5, wing -13)",156,5.0,,,,0.20,,0.22,,,,,,,,0.0019,,0,,,,,,,,,,,,,,,,,,,,17,,,5.0,,,,,,,-5.0,0.76,0.0019,1.4,1.4,0.55,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,39,"beta_self pinned at 5 times theory (17.49 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,lorentzian,1,0,,,44,,,,,,,,,280000,200000,0.89,86000,159,0.11,P:0.899 T:0.875,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -5, wing -13)",156,20,,,,0.20,,0.20,,,,,,,,0.00072,,0,,,,,,,,,,,,,,,,,,,,70,,,20,,,,,,,-5.0,0.76,0.00069,1.4,1.4,0.55,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,39,"beta_self pinned at 20 times theory (69.94 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
grid,PT,session,False,lorentzian,1,0,,,46,,,,,,,,,76000,0,0.89,86000,159,0.0044,P:0.899 T:0.873,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -5, wing -14)",180,0.860,0.034,,,0.3305,0.0037,0.372,0.012,,,,,,,0.024,0.031,0,,,,,,,,,,,,,,,,,,,,3.01,0.12,-1.3,,66,1.7,7400,190000,3.3,3.5,-4.9,0.70,0.021,1.3,1.3,0.50,True,40,1.0491,1.0040,0.9956,0.0188,2.9,True,2.9,True,,,,,,,,,,40,"the whitened profile likelihood over 159 traces of sessions PT at this waist with beta_self, the laser widths (session), the Omega scale (prior 1 +- 0.2) refit from 2 starts, gamma_l pinned at zero, Delta_alpha pinned at -1131.8 a.u. and rho at 0.94, the density law Steck, the collection window on at z_ratio 0.504 (M2 1), depletion at 0 cycles through companion_transit_mhz (transit at 130 C 1.3321 to 1.3321 MHz). the _err_hessian bars are conditional, every other parameter pinned. the dchi2_beta columns are the beta profile, chi2 with beta pinned at 0, theory, 5x and 20x theory and everything else refit, above the free minimum. the power-arm check reads the model's width ratio across each session's ladder at the TIED Omega (scale 1) with everything else fitted: P against the archive's 0.9956 +- 0.0188, refused at pull +2.86, pooled over 1 sessions refused at pull +2.86. centres profiled per trace and re-profiled after each inner fit, outer passes [1, 1], last centre move 0.005 MHz",DIAGNOSTIC
beta_profile,PT,session,False,lorentzian,1,0,,,46,,,,,,,,,76000,66,0.89,86000,159,0.0044,P:0.899 T:0.873,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -5, wing -14)",180,0,,,,0.42,,0.39,,,,,,,,0.025,,0,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,-4.9,0.70,0.021,1.3,1.3,0.50,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,40,"beta_self pinned at 0 times theory (0.00 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,lorentzian,1,0,,,46,,,,,,,,,76000,1.7,0.89,86000,159,0.0044,P:0.899 T:0.873,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -5, wing -14)",180,1.0,,,,0.32,,0.37,,,,,,,,0.026,,0,,,,,,,,,,,,,,,,,,,,3.5,,,1.0,,,,,,,-4.9,0.70,0.022,1.3,1.3,0.50,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,40,"beta_self pinned at 1 times theory (3.50 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,lorentzian,1,0,,,46,,,,,,,,,83000,7400,0.89,86000,159,0.0044,P:0.899 T:0.873,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -5, wing -14)",180,5.0,,,,0.20,,0.28,,,,,,,,0.0026,,0,,,,,,,,,,,,,,,,,,,,17,,,5.0,,,,,,,-5.0,0.70,0.0023,1.3,1.3,0.50,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,40,"beta_self pinned at 5 times theory (17.49 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,lorentzian,1,0,,,46,,,,,,,,,270000,190000,0.89,86000,159,0.0044,P:0.899 T:0.873,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -5, wing -14)",180,20,,,,0.20,,0.21,,,,,,,,0.0020,,0,,,,,,,,,,,,,,,,,,,,70,,,20,,,,,,,-5.0,0.70,0.0017,1.3,1.3,0.50,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,40,"beta_self pinned at 20 times theory (69.94 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
grid,PT,session,False,lorentzian,1,0,,,48,,,,,,,,,76000,41,0.89,86000,159,0.0042,P:0.901 T:0.871,"P:WING-LAW(core +0, wing -19) T:WING-LAW(core -5, wing -14)",168,0.863,0.034,,,0.4009,0.0037,0.438,0.012,,,,,,,0.031,0.034,0,,,,,,,,,,,,,,,,,,,,3.02,0.12,-1.2,,67,1.7,5000,180000,3.3,3.5,-4.8,0.64,0.025,1.3,1.3,0.46,True,40,1.0420,1.0036,0.9956,0.0188,2.5,True,2.5,True,,,,,,,,,,45,"the whitened profile likelihood over 159 traces of sessions PT at this waist with beta_self, the laser widths (session), the Omega scale (prior 1 +- 0.2) refit from 2 starts, gamma_l pinned at zero, Delta_alpha pinned at -1131.8 a.u. and rho at 0.94, the density law Steck, the collection window on at z_ratio 0.463 (M2 1), depletion at 0 cycles through companion_transit_mhz (transit at 130 C 1.2766 to 1.2766 MHz). the _err_hessian bars are conditional, every other parameter pinned. the dchi2_beta columns are the beta profile, chi2 with beta pinned at 0, theory, 5x and 20x theory and everything else refit, above the free minimum. the power-arm check reads the model's width ratio across each session's ladder at the TIED Omega (scale 1) with everything else fitted: P against the archive's 0.9956 +- 0.0188, refused at pull +2.47, pooled over 1 sessions refused at pull +2.47. centres profiled per trace and re-profiled after each inner fit, outer passes [1, 1], last centre move 0.004 MHz",DIAGNOSTIC
